"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","actor__001","actor__002","actor__003","actor__004"
"笑拳怪招","1979","1295273","喜剧","动作","","6.7","清朝时，由岳飞创立的形意门一派勇于抗清，朝廷鹰犬任天化（任世官 饰）武功高强，四处搜寻形意门高手陈鹏飞（田俊 饰）。僻静的青龙镇上，隐姓埋名的陈鹏飞和孙子陈兴龙（成龙 饰）每日辛勤练功，陈鹏飞为了避免暴露身份严令兴龙惹是生非。这日，兴龙上街赌钱显露身手拆穿庄家骗局，当地富户随即邀请兴龙到自己的武馆中担任教头。兴龙将武馆改名为形意门，又隐藏幕后替馆主料理各方挑战者。青龙镇的形意门名声渐起，将任天化引来，懵然不知的兴龙将任天化一行引到家中，任天化将陈鹏飞杀害。幸有陈鹏飞好友八脚麒麟及时赶到，兴龙才免于一死，自此兴龙跟随八脚麒麟苦练武功，矢志为爷爷复仇……©豆瓣","成龙","","成龙","田俊","李昆","石天"
"墙内墙外","1979","4101581","剧情","","","0","<牆內牆外>是一部警匪作品, 名字的由來, 是故事大致講述被囚禁在監獄裏的德叔(林偉棋), 策劃一宗機場貨運站械劫案, 並且對抓他進牢獄的周幫辦(朱江)進行報復. 牆, 便是指監獄的圍牆.\n德叔在獄中頗有地位, 其他囚犯中有不少是他手下. 他拜託獄中一名曾是機場貨運站興建工程的判頭囚友, 把貨運站的地圖畫出來, 以便他策劃劫取從南非來的一批鑽石. 德叔的手下用藏在肛門裏的毒品, 來交換那幅地圖, 卻轉眼間砸死那位畫圖者, 實在心狠手辣.","陈欣健","于仁泰","朱江","胡因梦","陈欣健","陈惠敏"
"神偷妙探手多多","1979","1869829","犯罪","剧情","","6.9","阿大性情耿直，阿细诡计多端，儿时经常作对。长大后阿大当了探长，阿细成了神偷。在一次打劫百货公司中阿细被抓，出狱后很多黑帮想与他合作，大奸商冯人约阿细欲偷巨钻""南海之星""，但却不知其中有诈，最终在阿大、阿细的携手下，将这一阴谋揭露，并在交易时将冯等人抓获。","梁普智","","吴耀汉","缪骞人","乔宏","卢海鹏"
"绝代双娇","1979","1461923","动作","武侠","古装","6.4","本片根据古龙名着改编，是楚原导演又一力作。天下第一剑客燕南天(王戎饰)手抱婴儿到恶人谷找江琴为义弟江枫报仇，怎知误入恶人圈套，不省人事。婴儿自小在恶人谷长大，取名小鱼儿(傅声饰)。小鱼儿从神医万春流口中得悉自己身世，出谷往找江琴报仇！途中邂逅铁心兰(文雪儿饰)，除得一纸藏宝图外，更屡被移花宫弟子花无缺(伍卫国饰)追杀。原来花与鱼根本是一对双生儿，移花宫主因不满他们父亲江枫移情，遂与改名江别鹤的江琴(唐菁饰)设局令兄弟相残！阴谋败露，花鱼联手，终将江及宫主刺毙。 \r\n\r\n这是一个关于宝藏和孪生兄弟被人利用相互廝杀的故事，被认为是楚原执导得最佳影片之一，傅声的出演更是让影片变得独具特色，他在片中饰演的那位最终找出自己父母死亡真相的功夫少年的形象，给观众留下了深刻印象。可惜傅声在29岁时因车祸英年早逝，实在令人惋惜。","楚原","","傅声","伍卫国","文雪儿",""
"林世荣","1979","1306258","喜剧","动作","","6.8","黄飞鸿（关德兴 饰）之徒林世荣（洪金宝 饰）卖猪肉为生，街坊称其为“猪肉荣”，林世荣平日好打抱不平，但是性格莽撞自作聪明，时常令自己陷入窘境。这天林世荣误打当地武林势力“五龙堂”门生，五龙堂主高霸天（李海生 饰）率众闯入宝芝林讨要说法，黄飞鸿巧妙化解，但林世荣免不了受责 罚。林世荣之弟林世光从乡下赶来投奔世荣，不想高霸天之子高大海觊觎世光妻子，设计将其掳走，世光被毒打，林世荣久未见亲弟，反误认世光为暴徒，为高大海出头将世光打伤。万念俱灰的世光欲寻死，巧遇落魄武林高手（樊梅生 饰）相救。高大海再施计寻求世荣保护，然而世荣世光兄弟终于相认，世光之妻亦被世荣救出，但世荣救人时再次自作聪明，将高霸天干女儿一起带走，令自己陷入了更大麻烦……©豆瓣","袁和平","","洪金宝","元彪","樊梅生","韦白"
"点指兵兵","1979","3023175","剧情","犯罪","","7.1","一个醉心枪械的年轻人欲投考警察，因有眼疾未被录取，造成心理不平衡而四处杀人。警方成立特别组缉捕他，一个初出茅庐的警察与凶手狭路相逢......","章国明","","王钟","张国强","金兴贤","泰迪·罗宾"
"林亚珍老虎鱼虾蟹","1979","23604248","喜剧","","","0","林亚珍老虎鱼虾蟹演职人员有萧芳芳、伊雷、胡大为、戴志伟、叶德娴、吴浣仪、陈立品、陈有后、金标、金军、张惠仪、汪伟","黄华麒","","萧芳芳","伊雷","胡大为",""
"搏命单刀夺命枪","1979","1485425","动作","冒险","","6.6","故事讲述一代刀王和枪王的故事。他们武功不相伯仲，于是各自收徒传授毕生武学，决定再比高低。而十五年后他们的手下败将卷土重来，武功突飞猛进，刀王、枪王俱毙命其大刀下。徒弟们为师复仇后，竟承继其师斗气本色，搞笑比试又一次开始了。","刘家荣","","洪金宝","刘家荣","火星","梁家仁"
"无名小卒","1979","2996561","喜剧","武侠","","6.6","小子北京狗跟随骗子无皮柴行走江湖。一日两人接受光棍七的委托去谋杀职业杀手人渣炳，计划是利用人渣炳好色的弱点，以光棍七之美艳妻子实行色诱。岂料当计划进行顺利之际，三人欲下手之时，人渣炳有所发觉，众人落荒而逃……","麦嘉","","刘家荣","梁家仁","钟发","麦嘉"
"南北醉拳","1979","2153584","动作","喜剧","","7","享誉武林的醉拳分南北两派。北派代表人物是沧州的千醉翁，他将醉拳和螳螂拳相结合，创出一套新的拳法——“醉螳螂”。千醉翁为人心狠手辣，他苦练创新的目的并非强身健体除暴安良，沿袭武学精神，而是想要称霸武林。为了证明北醉拳的功力天下第一，千醉翁带着徒弟来到南方寻找南醉拳苏花子一决高下。\n但苏花子整年云游在外，神龙见首不见尾，要想找到他并非易事。恰巧此刻苏花子刚好回到家中，见到了老伴收养的义子苏蒙。苏蒙为人忠厚老实、心地善良，一心想向苏花子学习醉拳。但苏花子见他并非习武奇才，不愿传授。为了磨练苏蒙，苏花子使出许多奇怪的训练招数让苏蒙苦不堪言。苏蒙认为苏花子不喜欢自己，便不辞而别到酒楼中当起了伙计。\n苏蒙遇到了住在酒楼里的千醉翁，并被他的徒弟侮辱。苏蒙回到家中把此事转告苏花子，苏花子明白千醉翁的来意，便来到酒楼与千醉翁比武，被千醉翁的“醉螳螂”打成重伤。\n苏蒙在为苏花子抓药途中遇到了苏花子的师弟病君，并开始瞒着苏花子和病君学习拳法。经过病君的指点，苏蒙在练习醉拳的基础上，加入了病拳的精髓，经过刻苦练习，苏蒙的拳法有了显著提高。\n苏花子病情好转，他感觉到苏蒙每日早出晚归必定有什么事情在瞒着他，于是跟踪苏蒙想探个究竟。但刚到病君家门外，便遇到了想要来斩草除根的千醉翁，两人再次过招，苏花子仍不敌千醉翁，艰难应战。此时苏蒙及时出现，他和千醉翁摆开阵势，面对千醉翁的独门武功醉螳螂，苏蒙将病拳和醉拳结合并发挥到极致，战胜了千醉翁。苏蒙终于扬眉吐气，学有所成。","袁和平","","袁小田","黄正利","林瑛","元奎"
