"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","actor__001","actor__002","actor__003","actor__004"
"奸人本色","1988","1482530","喜剧","","","6.3","刘父半生积蓄被奸商所骗，更在法庭败诉，郁郁而终，死前托女儿小云找奸人家族报仇。奸人家族一早不值奸商所为，设下以奸治奸的圈套，不料简仁与简贵为争小云欢心，被奸商利用……","潘文杰","","","董骠","许冠英","",""
"应召女郎一九八八","1988","1306790","剧情","","","6.9","明星林珍妮（张曼玉 饰）在香港家喻户晓，但同时，她暗中做面向外地富商的应召女郎多年，在结束了一次远在泰国的应召之后，林在机场结识了爽朗的富家子弟史提芬（齐秦 饰），并与其渐渐坠入情网；主妇美凤（冯宝宝 饰）为了应付丈夫（冯淬帆 饰）高额的治疗费用，只得选择瞒着丈夫儿子做应召女郎，这分裂的生活给她的家庭带来了意外的巨变；姗姗（吴家丽 饰）与玲玉（陈奕诗 饰）是一对儿要好的舞女姐妹，二人时常用计从老凯子的口袋中骗钱，表面风光后面，是失去母亲的寂寞和作为偷渡客的彷徨；不良少女菲比（余倩文 饰）不甘在家中受继父的骚扰，日日与一班古惑仔为伍，并做了其中一人的女友，岂料“男友”只是强迫她卖身赚钱……©豆瓣","林德禄","","","张曼玉","冯宝宝","吴家丽","齐秦"
"胭脂扣","1987","1299288","剧情","爱情","奇幻","8.4","报社记者袁永定（万梓良 饰）遇到了一位前来登寻人广告的女子如花（梅艳芳 饰），无意中才发现了该名冷艳的女子原是鬼魂，早在50年前，她是一名红牌妓女，结识了一名纨绔子弟十二少陈振邦（张国荣 饰）。如花深深爱上了这名多情的公子，两人已到了谈婚论嫁的地步，由于身份悬殊，遭到了十二少家人的极力反对。无奈之下，他们以胭脂扣定情，一起吞鸦片殉情。如花未能在地府看到自己的爱人，便到阳间寻找。\n如花在两名记者的帮助下，得知原来当年十二少被人救活了，如今生活潦倒。面对十二少的懦弱，如花伤心欲绝，把胭脂扣返还，回到阴间投胎转世。©豆瓣","关锦鹏","","","梅艳芳","张国荣","万梓良","朱宝意"
"鬼马保镖贼美人","1988","1300981","动作","","","6.6","空姐高秀萍（钟楚红 饰）与其姐经常替珠宝走私商人李子奇由外地走私钻石入境，在最大买卖之中，高姐妹用计起李尾注。岂料事为李子奇发觉，乃派杀手向高追回贼赃。高无意中求救于刑事侦缉督察贺新春（陈勋奇 饰），高决定利用贺之职业为护身符，静待时机。贺觉高行事有可疑，乃派侦缉咩喳邓大吉（郑则仕 饰）前往调查，邓一见高便惊为天人，对高展开追求，遂将目标转邓。李派杀手到医院，正于危急情况下，贺与CID灿赶到……","陈勋奇","","","陈勋奇","钟楚红","董骠","郑则仕"
"情义心","1988","1298243","剧情","动作","犯罪","5.7","李子雄，王敏德，陈欣健三人是好友，一起从香港到台湾从事一宗伪钞的买卖，不料遭到李的表哥张权陷害。另一方面，李子雄一直暗恋王的妻子，引起了陈的误会。这个复杂的关系在六年前导致王在台入狱，六年后则在香港展开了复仇行动。本片特别以""朋友妻不可戏""的内疚心理为戏剧焦点，在港产犯罪片之中则独具特色。导演王龙威的述事手法流畅，火拼场面也精彩。","王龙威","","","李子雄","王敏德","吴家丽","陈欣健"
"爱的逃兵","1988","1917820","喜剧","爱情","","6.4","高音楷（谭咏麟 饰）虽然身为钢琴调音师，却对音乐一窍不通。同事辛迪（吴君如 饰）痴痴暗恋着高音楷，为了接近他而闹出了不少的笑话，可是高音楷真正喜欢的是DJ苏诗棣（张曼玉 饰），然而两人显然身处不同的世界，于是高音楷决定将这份感情放在心底。\n作曲家林雪夫（苗侨伟 饰）到苏诗棣家做客，趁机对她动手动脚，惹得苏诗棣十分不悦，此时高音楷刚好在帮苏诗棣调琴，阻止了林雪夫的流氓行径，借此契机，高音楷和苏诗棣正式成为了朋友。之后，怀恨在心的林雪夫企图报复高音楷，却被后者巧妙的应对了过去，致使苏诗棣对高音楷另眼相看。一次偶然之中，高音楷遇见了太叔公的魂魄，受太叔公所托高音楷将前者的音乐作品以自己的名义发表，没想到一炮而红，亦赢得了苏诗棣的芳心。©豆瓣","冯淬帆","","","谭咏麟","张曼玉","苗侨伟","吴君如"
"赤胆情","1988","3063352","动作","犯罪","","6.7","高级督察李德威(李修贤饰)率队突退袭贼巢，主犯柳大川夫妇(林威及王小凤饰)狡猾逃脱。李妻Jenny(郑裕玲饰)因担心丈夫工作危险，屡劝他另觅工作，两人争持不下，Jenny逐带同儿子离开。柳大川在机场打劫得手，劫持一辆的士逃离，碰巧柳妻作产，找得医生接生，但婴儿身体虚弱，只好留在医院。两人逃亡时柳妻因大量出血不治，柳决定到医院找回刚出世的婴儿，巧遇并胁持李妻及其儿子，威逼以交换其儿子，千钧一发之际李将柳击毙。","陈会毅","","","李修贤","郑裕玲","林威","王小凤"
"精装追女仔II","1988","1303781","喜剧","爱情","","6.6","坚叔（冯淬帆饰）与两个伙计（曾志伟与陈百祥饰）惨淡经营一间汽车行，坚叔的侄子阿备（刘德华饰）是一个头脑灵活的年轻人，同时也常无赖地找坚叔骗吃骗喝。一次偶然的机会，坚叔与两学徒误打误撞被发达台监制（王晶饰）看中，纳入旗下，而鬼马的他们到处闯祸，终被赶出。而此时阿备迷恋上了邻居十三妹（黄韵诗饰）的一个学生宝珠（李美凤饰）。为了达到目的与报仇，他带领坚叔和两个伙计与十三妹的学生们参加了老周电视台，共同筹拍了一部短剧，不料演出后却大受人们的喜爱。然而，此时阿备却暗藏了另一个秘密，阿备的爱情又会何去何从呢......©豆瓣","王晶","","","刘德华","陈百祥","冯淬帆","李美凤"
"花心野玫瑰","1988","20451478","情色","","","0","影片讲述了一个花心的女子在几个男人之间极尽挑逗而生出的争风吃醋事件！片中有八十年代漂亮的韩国女脱星金姬美参演,值得一看!","张雁名","","","曹查理","金姬美","潘震伟","颜丽如"
"艳鬼凶灵","1988","26592258","恐怖","","","0","Two young men are buddies competing for the affection of the same girl. Not much of a contest, as the girl is clear about which one she likes. The guys also get into trouble standing up to the local gangster. But help is at hand when they seek refuge in a haunted house. A friendly lady ghost heals the wounds of one of the guys, and gives him power over the gang boss. But the ghosts's help is curtailed when her other-world enemy catches up.","何連洲","","","韋白","鄭婉雯","楊德毅","葉晨"
"半逻降","1988","3692169","恐怖","","","4.4","阿权是南阳降头师的徒弟，学艺多年，峰爷有位年轻貌美的妻子阿娇，峰爷因练降头术，常冷落娇妻，不料阿权乘虚而入，与阿娇打得火热，一日，二人的犯罪情节暴露，峰爷要置劣徒于死地，阿娇暗中帮助阿权偷了峰爷的镇山之宝逃跑。阿权为了阿娇不惜一切苦练降头术，结果反中了师傅的毒咒，因为走火入魔，阿权从此中了邪术杀人无数，峰爷知情后，而四处追查阿权的下落，决定大义灭亲。","杜文波","","","金姬美","谷峰","陈国权",""
"飞龙猛将","1988","1300714","动作","喜剧","爱情","7.4","华氏企业下属的化工厂所产废料污染了附近的渔场，渔场负责人阿娴（叶德娴）向法庭申请禁止该厂继续生产的禁令。为将麻烦解除，华氏企业请来律师阿龙（成龙）负责处理此案，并授权他收购渔场。阿龙找来好友黄飞鸿（洪金宝）和阿彪（元彪）帮忙，此二君一个武艺高强，一个虽身手敏捷但头脑不大灵光。\n阿彪在渔场安下窃听装置，黄飞鸿则想方设法接近阿娴，力劝她卖掉渔场，而阿娴也找来表妹水质专家美玲（杨宝玲）帮忙。阿龙初见美玲，便被对方深深吸引，不久两人陷入热恋中，黄飞鸿与阿娴的感情也日渐浓烈。阿彪不小心泄露了三人的本来意图，令阿娴与美玲失望过后分别与阿龙和黄飞鸿绝交。此事促使阿龙一伙发现工厂相瞒的秘密。©豆瓣","洪金宝","元奎","","成龙","洪金宝","元彪","叶德娴"
