"name","year","id","type__001","type__002","type__003","rate","story","director__001","director__002","director__003","director__004","actor__001","actor__002","actor__003","actor__004"
"僵尸至尊","1991","3066798","喜剧","动作","恐怖","7.3","七月十五，鬼门大开，孤魂野鬼游荡人间。茅山道长九叔（林正英 饰）精心准备鬼月所需祭品，而顽皮的二徒弟文才却跑去看鬼戏。文才懵懂，不只身旁已聚满群鬼，更有貌美如画的女鬼小丽（吴家丽 饰）将其相中。九叔命大徒弟秋生（钱小豪 饰）前去营救，秋生则为小丽美色所惑。最终师徒惊动群鬼，使得它们逃脱鬼差管制，徘徊人世。\n为避免群鬼危害世人，九叔请来师兄弟共同商议对策。大师兄提出先天八卦阵，而由文才和秋生两个惹祸头负责将群鬼吸引出来……©豆瓣","刘伟强","","","","林正英","钱小豪","吴家丽","刘洵"
"天地玄门","1991","1299865","奇幻","","","6.4","明代孝宗年间，施家镇出现扶桑鬼王（左颂升 饰）危害人间，并霸占美女施施（王祖贤 饰）为爱姬。鬼王伤害性命无数，惹得天怒人怨，皇上任命正直武官马尚峰（成奎安 饰）捉拿鬼王。正当愁眉不展之际，师爷向马举荐身怀绝技的草芦居士（林正英 饰）帮忙，却得知为除鬼王需牺牲自己的性命。马愤愤返回，草芦居士设计令马尚峰假死，使其化为金甲武士与徒弟（黄一山 饰）担任自己的左右护卫。师徒三人与鬼王展开艰苦鏖战，却由此导致天地玄门大开，正邪双方穿越时空，来至现代。在这里，师徒三人各自遭遇不同的蹊跷趣事。偶然机会，草芦居士发现酷似施施的女医生Gigi。绵延数百年的正邪大战将再次展开……©豆瓣","叶成康","","","","林正英","王祖贤","成奎安","黄秋生"
"鬼干部","","1307867","","","","","","","","","","","","",""
"沙滩仔与周师奶","1991","1419923","喜剧","","","6.3","沙滩仔（梁朝伟 饰）和周师奶（吴孟达 饰）是警局里的一对好拍档，两人不仅工作默契，而且私底下是一对十分要好的难兄难弟。沙滩仔性格火爆、而周师奶则为人世故，两人性格正好互补。一次在调查中，沙滩仔邂逅了少女阿玉（吴倩莲 饰），便疯狂的爱上了她。\n新调来的上司李南表面上是一个正直的警察，其实暗地里一直靠黑帮生意挣钱、为人心狠手辣，他也爱上了阿玉，并顺利夺取了她的欢心。一次李南策划了一起黑市黄金交易，不止自己挣钱，更企图嫁祸于沙滩仔。沙滩仔最终命运如何？©豆瓣","杜琪峰","戚其义","","","梁朝伟","吴倩莲","吴孟达","李子雄"
"卫斯理之霸王卸甲","1991","1298014","动作","奇幻","","6.5","研习堪舆学的阮姓（秦沛 饰）与卫姓（元奎 饰）师兄弟找到龙穴霸王卸甲，若死后埋葬于此，定可兴旺后人。阮欲归葬此地，但卫看出该穴虽佳，却可引起血光灾难，因此力劝师兄放弃。师兄弟言语不和，大打出手。阮得偿所愿，归葬权穴，重伤的卫归葬智穴，并助好友王占得财穴。\n二十多年后，卫的儿子卫斯理（钱嘉乐 饰）辗转来到美国洛杉矶，凭借过人才智制造电脑病毒，引起巨大混乱。他的举动引起王的后人注意，王家凭借财穴荫护，开创电脑王国，但今年事业滑落。最终得知，龙穴风水二十四年后势必逆转，必须将先人坟茔挪往他所访的幸免。王氏后人助卫斯理解围，并邀其同赴龙穴所在地——加里南……©豆瓣","徐小明","","","","钱嘉乐","元华","胡慧中","李赛凤"
"红粉至尊","1991","1888370","动作","","","6","杨氏家族是香港首屈一指的黑帮大家族，家长杨云峰深受黑白两道敬重，长子杨鐡岳，女儿杨小青俱才智过人，养子阿龙长袖善舞，智囊Micheal则深藏不露，在一次杨家与三大家族恶斗中，云峰，鐡岳与及男友Peter均遭伏击惨死，父死兄，亲夫亦亡，小青坚强无比，决定复仇，以暴易暴，而Micheal亦对小青产生爱意决定助小青查出 幕后主谋人……","李建生 (Chris Lee)","","","","杨丽菁","任达华","沈威","曾江"
"英伦越战","1991","1308396","动作","剧情","","0","一九七六年越战结束，但对于很多人来说，越战从未停止，它深深地在他们的脑海留下烙印…… 　　退伍越战军人李南（吴毅将）为找寻安静的生活，不惜离开早已是颓垣败瓦的故乡，还赴英伦，与妻子胡英（蓝洁瑛）开设外卖店，但越战的阴影，如幽灵般缠绕李南不散，使他产生如在战场上野兽般厮杀的情绪，不得安宁。 　　恰巧李南军中死敌袁强（高飞）亦于伦敦出现，且誓要置他于死地，李南惟有投靠华人社区巨头铭叔（刘兆铭）以保救全；但很不幸，这竟加速了档口二头目陈广（万梓良）夺权的阴谋。陈广遂与袁强勾结，借袁强之手除去李南，而他则伺机向铭叔痛下杀手。 　　在一次刺杀行动中，胡英惨遭袁强杀害，李南痛不欲生，在英伦街头与袁强展开一场一触发的枪战。airuib.com","鄒鳳","楊兆光","","","吴毅将","蓝洁瑛","万梓良","高飞"
"马路英雄","1991","1300586","动作","","","5.8","祖酷爱汽车，与人合资经营一汽车修理房。在一次非法赛车中，与雷发生碰撞，并被拉上差馆，从此两邦结怨，而雷之父狠为一老练探员，竟公事公办将雷扣留，雷与父之间矛盾因更深，而更加迁怒于祖。另一方面，祖因此事而结识雷之妹ANN，并共坠爱河。后来，雷知道ANN与死对头相爱，于是屡次破坏，祖初时为了ANN而不加反抗，但雷咄咄逼人，ANN自知一切皆由己而起，遂忍痛与祖分手，但雷并没有因此罢手，祖唯与雷谈判，二人相约以赛车赌五十万来解决，赛事中雷车意外冲落大海。雷手下红牛以为雷已死，所以以ANN威胁祖，藉此为雷报仇，祖赶至，但不敌红牛，危急之际，雷满身披血而至……","查传谊","","","","张学友","李丽珍","莫少聪",""
"聊斋艳谭续集五通神","","4224317","","","","","","","","","","","","",""
"赌尊","1991","1306966","剧情","动作","","4.4","东南亚赌王程千手一生称霸赌国，为避免爱女程祖儿遭暗算，乃派师弟鲁马往泰国教养，二十年后，祖儿长大成人，她聪敏、冷静，除秉承乃父的赌术，还学得一身好功夫。千手决定于六十大寿退出江湖，而将事业交亲信邵仁豪，邵实是名利心极重的人，千手因拆穿石川长峰之骗术，石川为报仇勾结仁豪，又派杀手林宏风监视豪，并给千手战书，宏风扮纯朴青年任千手司机及与祖儿日久生情。赌赛前，由于仁豪在由于仁豪在灯光上下手脚，因此千手连输两局，受不住刺激当场晕倒，宣布赌局暂停延期一月。仁豪利用针剂杀死千手。千手逝世，祖儿愿代卫冕，石川下令宏风狙杀祖儿，宏风无法下手，更派朋友保护祖儿，但祖儿误会宏风害她且向仁豪求救，再次掉入陷阱，祖儿至此明白真的仇人是仁豪。一月之期已至，公证人宣布石川获胜。此时仁豪发难抢夺奖金，正当众人难解难分之际，黑手党，教父携祖儿、宏风出现，并宣布仁豪、宏风、祖儿三人重新赌过，以性命为赌注。","黄靖华","","","","林俊贤","万梓良","成奎安","秦豪"
